Food Item,Quantity,Unit,Fat,Protein,Carb,Fiber,Net Carb,Calories,Food Item,B1(Thiamine) mg,B2 (Riboflavin) mg,B3 (Niacin) mg,B5 (Pantothenic Acid) mg,B6 (Pyridoxine) mg,B12 (Cobalamin) mg,B7 (Biotin) mg,B8 (Choline) mg,B9 (Folate) mg,Vitamin A IU,Vitamin C mg,Vitamin D IU,Vitamin E mg,Vitamin K mg,Food Item,Calcium mg,Copper mg,Iron mg,Magnesium mg,Manganese mg,Phosphosus mg,Potassium mg,Selenium mg,Sodium mg,Zinc mg
Kumra (Pumpkin),100,gram,0.1,1,6.5,0.5,6,31,"Pumpkin, Raw",0.05,0.11,0.6,0.3,0.06,0,0,8.2,16,8513,9,0,1.06,1.1,"Pumpkin, Raw",21,0.13,0.8,12,0.13,44,340,0.3,1,0.32
Tomato,100,gram,0.2,0.9,3.9,1.2,2.7,21,"Green Tomato, Raw",0.06,0.04,0.5,0.5,0.08,0,0,8.6,9,642,23.4,0,0.38,10.1,"Green Tomato, Raw",13,0.09,0.51,10,0.1,28,204,0.4,13,0.07
Peyaj (Onion),100,gram,0,0.9,10.1,1.4,8.7,44,"Onion, White, Yellow or Red, Raw",0.05,0.03,0.12,0.12,0.12,0,0,6.1,19,2,7.4,0,0.02,0.4,"Onion, White, Yellow or Red, Raw",23,0.04,0.21,10,0.13,29,146,0.5,4,0.17
Gajor (Carrot),100,gram,0.2,0.9,9.6,2.8,6.8,43,"Carrots, Raw",0.07,0.06,0.98,0.27,0.14,0,0,8.8,19,16706,5.9,0,0.86,8.3,"Carrots, Raw",33,0.05,0.3,12,0.14,35,320,0.1,69,0.24
Lau (Gourd),100,gram,0,0.6,3.4,0.5,2.9,16,"Gourd, white-flowered, raw",0.03,0.02,0.32,0.15,0.04,0,0,0,6,16,10.1,0,0,0,"Gourd, white-flowered, raw",26,0.03,0.2,11,0.07,13,150,0.2,2,0.7
Korola (Bitter Gourd/Bitter Melon),100,gram,0,0.2,3.4,2.6,0.8,14,"Bitter Gourd, Pods, Raw",0.04,0.04,0.4,0.21,0.04,0,0,0,72,471,84,0,0,0,"Bitter Gourd, Pods, Raw",19,0.03,0.43,17,0.09,31,296,0.2,5,0.8
Beetroot,100,gram,0.2,1.6,9.6,2.8,6.8,46,"Beets, Raw",0.03,0.04,0.33,0.16,0.07,0,0,6,109,33,4.9,0,0.04,0.2,"Beets, Raw",16,0.08,0.8,23,0.33,40,325,0.7,78,0.35
Motorshuti (Green Peas),100,gram,0.3,5.1,14.3,5.5,8.8,80,"Green Peas, Raw",0.27,0.13,2.09,0.1,0.17,0,0,28.4,65,765,40,0,0.13,24.8,"Green Peas, Raw",25,0.18,1.47,33,0.41,108,244,1.8,5,1.24
Alu (Potato),100,gram,0,2,17.5,2.2,15.3,78,"Potato, Boiled with Skin",0.07,0.06,1.31,0.51,0.29,0,0,18.7,5,12,12,0,0.06,0.53,"Potato, Boiled with Skin",21,0.17,1.65,30,0.28,77,564,0.3,6,0.81
Misti Alu (Sweet Potato),100,gram,0,1.6,20.1,3,17.1,86,"Sweet Potato, Raw",0.08,0.06,0.56,0.8,0.21,0,0,12.3,11,14187,2.4,0,0.26,1.8,"Sweet Potato, Raw",30,0.15,0.61,25,0.26,47,337,0.6,55,0.3
Kochu (Taro Root),100,gram,0.2,1.5,27.9,4.1,23.8,120,"Taro, raw",0.1,0.03,0.6,0.3,0.28,0,0,17.3,22,76,4.5,0,2.38,1,"Taro, raw",43,0.17,0.55,33,0.38,84,591,0.7,11,0.23
Pepe (Papaya),100,gram,0.1,0.6,9.8,1.8,8,42,"Papaya, Fresh",0.02,0.03,0.36,0.19,0.04,0,0,6.1,37,950,60.9,0,0.3,2.6,"Papaya, Fresh",20,0.05,0.25,21,0.04,10,182,0.6,8,0.08
Sajna (Drumstick),100,gram,1.4,9,8.3,2,6.1,66,"Drumstick leaves, raw",0.26,0.66,2.22,0.13,1.2,0,0,0,40,7564,51.7,0,0,0,"Drumstick leaves, raw",185,0.11,4,42,1.06,112,337,0.9,9,0.6
