Food Item,Quantity,Unit,Fat,Protein,Carb,Fiber,Net Carb,Calories,Food Item,B1(Thiamine) mg,B2 (Riboflavin) mg,B3 (Niacin) mg,B5 (Pantothenic Acid) mg,B6 (Pyridoxine) mg,B12 (Cobalamin) mg,B7 (Biotin) mg,B8 (Choline) mg,B9 (Folate) mg,Vitamin A IU,Vitamin C mg,Vitamin D IU,Vitamin E mg,Vitamin K mg,Food Item,Calcium mg,Copper mg,Iron mg,Magnesium mg,Manganese mg,Phosphosus mg,Potassium mg,Selenium mg,Sodium mg,Zinc mg
Murgir Dim (Chicken Egg) Without Yolk,1,Unit,0.6,3.6,0,0,0,17,Egg Whites Only,0.01,0.15,0.04,0.06,0.01,0.03,0,0.37,1.34,0,0,0,0,0,Egg Whites Only,2.34,0.01,0.03,3.67,0.01,5.01,54.44,6.68,55.44,0.01
Haser Dim (Duck Egg),1,Unit,9.6,9,1,0,1,130,"Egg, duck, whole, fresh, raw",0.11,0.28,0.14,1.3,0.18,3.78,0,184.38,56,471.8,0,48.3,0.94,0.28,"Egg, duck, whole, fresh, raw",44.8,0.04,2.7,11.9,0.03,154,155,25.48,102.2,0.99
Koyel Pakhir Dim (Koyel Egg),1,Unit,1,1.2,0,0,0,15,"Egg, Quail, Whole, Fresh, Raw",0.01,0.07,0.01,0.16,0.01,0.14,0,23.71,5.94,48.87,0,4.95,0.1,0.03,"Egg, Quail, Whole, Fresh, Raw",5.76,0.01,0.33,1.17,0.01,20.34,11.88,2.88,12.69,0.13
Murgir Buker Mangsho (Chicken Breast),100,gram,1.2,23.1,0,0,0,104,Chicken Breast Lunchmeat,0.02,0.12,6.79,0.52,0.47,0.23,0,49.56,5.2,6.35,0,7.04,0.05,0,Chicken Breast Lunchmeat,11.1,0.04,0.4,25.78,0.01,256.62,359.57,17.51,1031.95,0.52
Murgir Raner Mangsho (Chicken Leg Piece),100,gram,3.9,19.7,0,0,0,113,"Chicken Leg, Thigh (65g)",0.09,0.12,9.5,0,0.35,0,0,0,4,23,0,0.1,0.24,0,"Chicken Leg, Thigh (65g)",18,0.22,1,29,0,180,299,0,55,0.22
Murgir Kolija (Chicken Liver),100,gram,4.8,16.9,0,0,0,114,"Chicken, Liver, All Classes, Raw",0.31,1.78,9.73,6.23,0.85,16.58,0,194,588,11078,17.9,0,0.7,0,"Chicken, Liver, All Classes, Raw",8,0.49,8.99,19,0.26,297,230,54.6,71,2.67
Gorur Mangshor (Beef),100,gram,15,26,0,0,0,239,Beef with Gravy,0.04,0.16,4.39,0.65,0.34,2.25,0,66.19,9.97,7.78,0,1.6,0.1,1.77,Beef with Gravy,28.3,0.08,2.24,17.93,0.05,176.55,298.47,17.41,203.53,5.12
Gorur Kolija (Beef Liver),100,gram,3.6,20.4,0,0,0,130,Beef Liver,0.19,2.76,13.2,0,1.08,0,0,0,290,4968,1.3,1.2,0.38,0,Beef Liver,4,1.5,3.5,18,0,387,313,0,69,3.71
Khasir Mangsho (Mutton),100,gram,2.3,20.6,0,0,0,109,Mutton,0.03,0.15,3.26,0.45,0.19,2.22,0,50.3,0,0,0,0,0.4,0,Mutton,5,0.03,2.38,15.5,0.02,136,204.5,19,67.5,2.97
Khasir Kolija (Mutton Liver),100,gram,7.5,19.3,0,0,0,150,Mutton Liver,0.34,3.63,16.11,6.13,0.9,90.5,0,0,230,24612,4,0,0,0,Mutton Liver,7,6.98,7.37,19,0.18,364,313,82.4,70,4.66
Verar Mangsho (Lamb),100,gram,13.5,18.5,0,0,0,196,"Lamb, ground, raw",0.08,0.15,4.17,0.46,0.09,1.62,0,48.51,12.6,0,0,1.4,0.14,2.52,"Lamb, ground, raw",11.2,0.07,1.09,14.7,0.01,109.9,155.4,13.16,41.3,2.39
Mohiser Mangso (Buffalo),100,gram,1.9,19.4,0,0,0,95,Mohiser Mangso (Buffalo),0.04,0.2,6,0,0.53,0,0,0,8,0,0,0.1,0.05,0,Mohiser Mangso (Buffalo),12,0.15,1.6,32,0,189,297,0,53,1.93
Bacon,1,slice,3.5,2.9,0,0,0,43,Bacon,0.04,0.02,0.84,0.09,0.04,0.09,0,7.16,0,2.96,0,1.36,0.03,0,Bacon,0.88,0.01,0.08,2.48,0.01,31.04,39.92,4.06,134.72,0.24
Hasher Mangsho (Duck),100,gram,39.3,11.5,0,0,0,404,"Duck, domesticated, meat and skin, raw",0.2,0.21,3.93,0.95,0.19,0.25,0,31,13,168,2.8,26,0.7,5.5,"Duck, domesticated, meat and skin, raw",11,0.24,2.4,15,0.02,139,209,12.4,63,1.36
Soya Nuggets,100,gram,0,52,33,13,20,345,"Soya+, Soy Nuggets",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Soya+, Soy Nuggets",0,0,0,0,0,0,0,0,120,0
Kobutorer Mangsho (Pigeon),100,gram,23.8,18.5,0,0,0,294,"Pigeon, meat and skin, raw",0.21,0.22,6.05,0.76,0.41,0.4,0,0,6,243,0,0,0,0,"Pigeon, meat and skin, raw",12,0.44,3.54,22,0.02,248,199,13.3,54,2.2
Rui Mach (Rui/Ruhu Fish),100,gram,10.9,19.9,0,0,0,177,"Rohu, Raw (80cal)",0.05,0.07,0.7,0,0,5,0,0,0,0,0,0,0,0,"Rohu, Raw (80cal)",0,0.1,1,13,0,180,290,0,100,0
Tuna Mach (Tona Fish),100,gram,1,23.4,0,0,0,102,"Tuna, Canned",0.03,0.07,13.28,0.21,0.35,2.99,0,29.3,4,56,0,160,0.33,2.3,"Tuna, Canned",11,0.05,1.53,27,0.01,163,237,80.4,50,0.77
Chingri Mach (Shrimp),100,gram,1.7,20.3,0.9,0,0.9,100,"Shrimp, Cooked from Fresh",0.03,0.02,2.42,0.47,0.22,1.5,0,122.2,22,50,0,0.64,0.4,0.1,"Shrimp, Cooked from Fresh",70,0.38,0.51,39,0.03,237,259,44.7,111,1.64
Tilapia Mach (Tilapia Fish),100,gram,0.5,20.8,0,0,0,93,"Fish, Tilapia, Raw",0.04,0.06,3.9,0.49,0.16,1.58,0,42.5,24,0,0,124,0.4,1.4,"Fish, Tilapia, Raw",10,0.08,0.56,27,0.04,170,302,41.8,52,0.33
Ilish Mach (Ilish Fish),100,gram,19.4,21.8,0,0,0,273,"Hilsa, Raw",0,0,2.8,0,0,4,0,0,0,0,0,0,0,0,"Hilsa, Raw",180,0.14,2.1,0,0,280,180,0,52,0
Pangas Mach (Pangas Fish),100,gram,11,16,0,0,0,162,Pangasius,0.04,0.02,0.8,0,0.03,0,0,0,0,0,0,0,0,0,Pangasius,9,0.13,0.5,0.8,22,50,40,8,5,0.6
Catla Mach (Catla Fish),100,gram,2.6,19.9,0,0,0,103,Catla Mach (Catla Fish),0.08,0.09,4.4,0,0.26,0,0,0,0,3,0,0,0,0,Catla Mach (Catla Fish),530,0.03,0.6,36,0,235,293,0,56,0.48
Bata Mach (Labeo Bata Fish),100,gram,4.7,15.9,0,0,0,106,Bata Mach (Labeo Bata Fish),0.08,0.1,5.2,0,2.28,0,0,0,0,0,0,0,0,0,Bata Mach (Labeo Bata Fish),493,0.17,1.2,33,0,200,201,0,83,0.94
Boal Mach (helicopter catfish/wallago catfish),100,gram,2.1,15.4,0,0,0,80,Boal Mach (helicopter catfish/wallago catfish),0.06,0.07,3.9,0,0.22,0,0,0,0,0,0,0,0,0,Boal Mach (helicopter catfish/wallago catfish),83,0.05,0.8,37,0,134,146,0,63,0.27
Bacha Mach (Bacha Fish),100,gram,6.4,16.1,0,0,0,122,Bacha Mach (Bacha Fish),0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,Bacha Mach (Bacha Fish),520,0.11,0.7,0,0,360,0,0,0,0
Pabda Mach (Pabda Fish),100,gram,2.8,17.3,0,0,0,95,Pabda Mach (Pabda Fish),0.03,0.06,5.4,0,0.29,0,0,0,0,0,0,0,0,0,Pabda Mach (Pabda Fish),267,0.09,1.2,18,0,266,353,0,105,1.25
Koi Mach (Koi Fish),100,gram,6.6,17.5,0,0,0,130,Koi Mach (Koi Fish),0.03,0.18,2.6,0,0,0,0,0,0,215,0,0,0,0,Koi Mach (Koi Fish),410,0.04,1.2,53,0,390,214,0,52,1.13
Rupchanda (Pomfret),100,gram,4,17.9,0,0,0,108,"Pomfret, Black, Raw",0.02,0.09,2.1,0,0,0,0,0,0,0,0,0,0,0,"Pomfret, Black, Raw",32,0,1.9,0,0,250,430,0,110,0
Silvercup (Silver Carp),100,gram,6,17.5,0,0,0,123,Silvercup (Silver Carp),0.08,0.09,5,0,0.27,0,0,0,0,0,0,0,0,0,Silvercup (Silver Carp),22,0.02,1.5,27,0,182,225,0,115,0.28
Magur Mach (Walking catfish),100,gram,4.6,15.6,0,0,0,103,Magur Mach (Walking catfish),0.03,0.06,1.7,0,0.25,0,0,0,0,15,0,0,0,0,Magur Mach (Walking catfish),27,0.06,0.8,25,0,180,344,0,71,0.53
Shing Mach (Stinging Catfish),100,gram,3.5,17.2,0,0,0,101,Singhi Mach (Stinging Catfish),0.08,0.09,0.6,0,0.26,0,0,0,0,16,0,0,0,0,Singhi Mach (Stinging Catfish),319,0,2.1,0,0,304,434,0,83,0.55
Shol Mach (Striped Snakehead),100,gram,3.3,17.7,0,0,0,101,Shol Mach (Striped Snakehead),0.04,0.05,2,0,0.24,0,0,0,0,0,0,0,0,0,Shol Mach (Striped Snakehead),104,0.2,1,43,0,130,362,0,50,0.31
Taki Mach (Spotted Snakehead),100,gram,2.4,17.3,0,0,0,91,Taki Mach (Spotted Snakehead),0.04,0.05,2,0,0.24,0,0,0,0,191,0,0,0,0,Taki Mach (Spotted Snakehead),624,0.16,1.5,35,0,440,245,0,68,1.08
Makhan (Butter),100,ml,81,0.9,0,0,0,733,"Butter, Salted",0.01,0.03,0.04,0.11,0.01,0.17,0,18.8,3,2499,0,10.28,2.32,7,"Butter, Salted",24,0,0.02,2,0,24,24,1,643,0.09
Ghee,100,ml,100,0,0,0,0,900,Ghee,0.01,0.01,0.01,0.01,0.01,0.01,0,22.3,0,3069,0,12.8,2.8,8.6,Ghee,4,0.01,0,0,0,3,5,0,2,0.01
Narikel Tel (Coconut Oil),100,ml,100,0,0,0,0,900,Coconut Oil,0,0,0,0,0,0,0,0.3,0,0,0,0,0.11,0.6,Coconut Oil,1,0,0.05,0,0,0,0,0,0,0.02
Olive Oil,100,ml,93.3,0,0,0,0,839,Extra Virgin Olive Oil,0,0,0,0,0,0,0,0.3,0,0,0,0,14.35,60.2,Extra Virgin Olive Oil,1,0,0.56,0,0,0,1,0,2,0
Almond Butter,100,ml,59.1,15.1,21.2,3.7,17.5,677,Almond Butter,0.04,0.94,3.16,0.32,0.1,0,0,52.1,53,1,0,0,24.21,0,Almond Butter,347,0.93,3.49,279,2.13,508,748,2.4,227,3.29
Peanut Butter,100,ml,50,25,20,6,14,588,"Peanut Butter, Regular, Salted",0.15,0.19,13.11,1.14,0.44,0,0,63,87,0,0,0,9.1,0.3,"Peanut Butter, Regular, Salted",49,0.42,1.74,168,1.67,335,558,4.1,426,2.51
Almond Milk,100,ml,2.5,1,0.8,0,0.8,30,"Almond Milk, Plain, Original, Sweetened",0.01,0.02,0.08,0.01,0.01,0,0,1.09,0.92,208.33,0,41.68,4.19,0,"Almond Milk, Plain, Original, Sweetened",187.5,0.02,0.3,6.67,0.05,10.04,70.77,0.1,62.56,0.07
Coconut Milk,100,ml,4,0,0.6,0,0.6,38,"Coconut Milk, Plain or Original, Fortified",0.01,0.01,0.05,0.05,0.01,1.25,0,1.15,16.13,208.33,0.15,50,0.01,0.11,"Coconut Milk, Plain or Original, Fortified",41.67,0.02,0.3,16.67,0.13,6.93,37.5,2.33,6.24,0.25
Chal (Rice) Before Cooking,100,gram,0.4,6.5,76.8,3.4,73.4,344,"White Rice, Uncooked",0.58,0.05,4.19,1.01,0.16,0,0,5.8,387,0,0,0,0.11,0.1,"White Rice, Uncooked",28,0.22,4.31,25,1.09,115,115,15.1,5,1.09
Vat (Cooked Rice),150,gram,0,4,46,0,46,200,"White Rice, Steamed",0.24,0.02,2.21,0.59,0.14,0,0,3.15,64.2,0,0,0,0.06,0,"White Rice, Steamed",15,0.1,1.8,18,0.71,64.5,52.5,11.25,1.5,0.74
Chira (Flattened Rice),100,gram,1.1,6.5,79.2,1.3,77.9,356,"Poha, Flattened Rice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poha, Flattened Rice",0,0,4.5,0,0,0,0,0,0,0
Muri (Puffed Rice),100,gram,0.1,6.7,82.7,1.4,81.3,361,Puffed Rice Cereal,0.44,0.08,6.34,1.59,0.74,0,0,30.1,16,0,0,0,0.6,0.06,Puffed Rice Cereal,11,0.23,1.98,112,4.01,337,289,8.1,8,2.45
Khoi (Popcorn),100,gram,0.1,7.1,87,1.4,85.6,380,"Popcorn, Home Popped",0.1,0.08,2.31,0.51,0.16,0,0,21.2,31,196,0,0,0.29,1.2,"Popcorn, Home Popped",7,0.26,3.19,144,1.11,358,329,0,8,3.08
Kauner Chal (Millet Rice),100,gram,4.3,10.4,61.7,8.5,53.2,344,"Millet, Dry",0.42,0.29,4.72,0.85,0.38,0,0,11.5,85,43,0,0,0.05,0.9,"Millet, Dry",8,0.75,3.01,114,1.63,285,195,2.7,5,1.68
Job (Barley),100,gram,2.2,10.9,56.4,17.3,21.8,324,"Barley, Pearled, Dry",0.19,0.11,4.6,0.28,0.26,0,0,37.8,23,22,0,0,0.02,2.2,"Barley, Pearled, Dry",29,0.42,2.5,79,1.32,221,280,37.7,9,2.13
Oats,100,gram,7,17,66,11,55,389,"Oatmeal, Regular or Quick, Dry",0.46,0.16,1.13,1.12,0.1,0,0,40.4,32,0,0,0,0.42,2,"Oatmeal, Regular or Quick, Dry",52,0.39,4.25,138,3.63,410,362,28.9,6,3.64
Vutta (Corn),100,gram,3.4,9.9,64.7,7.3,57.4,344,Vutta (Corn),0.39,0.11,2,0,0.62,0,0,0,20,11,0,0,0.49,0,Vutta (Corn),12,0.43,2.9,143,0,329,248,0,14,3.27
Gom (Wheat),100,gram,2.9,11.2,62,12.2,49.8,344,Gom (Wheat),0.18,0.05,4,0,0.09,0,0,0,57,0,0,0,0.1,0,Gom (Wheat),17,0.25,1.1,40,0,105,158,0,5,2.18
Lal Ata (Red Wheat Flour),100,gram,2.1,11.3,62.2,10.7,51.5,334,"whole wheat flour, red",0,0,0,0,0,0,0,0,0,9,0,0,0,0,"whole wheat flour, red",25,0,3.6,0,0,0,340,0,2,0
Sada Ata/Moyda (Flour),100,gram,1.6,10.6,70.3,4.4,65.9,347,White Whole Wheat Flour,0.5,0.17,4.96,0.6,0.41,0,0,31.2,44,9,0,0,0.71,1.9,White Whole Wheat Flour,34,0.41,3.6,137,4.07,357,363,61.8,2,2.6
Roti (Flatbread),1,unit,0,2.7,15.7,1,14.7,80,Roti (Flatbread),0.26,0.1,1.49,0.38,0.12,0.01,0,9.3,37.9,3.81,0.01,0,0.24,2.57,Roti (Flatbread),37.21,0.13,1.19,62,0.97,100.2,138.64,12.03,334.85,0.78
Chola (Chickpea),100,gram,6,20.4,44.8,17.4,27.4,350,Chola (Chickpea),0.3,0.27,4.9,0,0.54,0,0,0,186,3,0,0,2.88,0,Chola (Chickpea),203,1.23,8.8,130,0,368,716,0,33,2.68
Mashkalai Dal (Black Gram),100,gram,1.7,22.3,45.1,16.3,28.8,317,"Black Gram, Whole, Dried, Raw",0.42,0.37,2,0,0,0,0,0,132,20,0,0,0,0,"Black Gram, Whole, Dried, Raw",150,0.72,6.3,160,1.2,370,800,0,40,2.8
Mug Dal (Mung Bean),100,gram,1.2,23.7,60.9,0.7,60.2,351,"Mung Beans, Mature Seeds, Raw",0.62,0.23,2.25,1.91,0.38,0,0,97.9,625,114,4.8,0,0.51,9,"Mung Beans, Mature Seeds, Raw",132,0.94,6.74,189,1.04,367,1246,8.2,15,2.68
Khesari Dal (Grass-Pea),100,gram,0.9,28.4,56.5,2.2,54.3,352,Khesari Dal (Grass-Pea/Chickling-Pea),0.37,0.21,2.9,0,0.35,0,0,0,207,5,0,0,0.5,0,Khesari Dal (Grass-Pea/Chickling-Pea),61,1.08,5.3,101,0,374,813,0,35,3.38
Moshur Dal (Lentil),100,gram,0.8,27.7,43.2,13.2,30,317,Lentil,0.77,0.13,6.3,0,0.34,0,0,0,36,3,0,0,0.37,0,Lentil,23,0.79,5.1,72,0,261,635,0,37,3.89
Motor Dal (Split Pea),100,gram,2.1,22.1,48.3,13,35.3,327,Motor Dal (Split Pea),0.47,0.13,5.5,0,0.08,0,0,0,33,3,0,0,1.04,0,Motor Dal (Split Pea),75,1.29,4.8,102,0,298,709,0,21,3.49
Arhar Dal (Red Gram),100,gram,1.5,22.3,60.4,1.5,58.9,347,Arhar Dal (Red Gram),0.45,0.19,2.9,0,0.28,0,0,0,103,3,0,0,0.83,0,Arhar Dal (Red Gram),55,1.2,2.7,96,0,304,1100,0,29,2.1
Almond Flour,100,gram,12,5.6,1.6,1.6,0,144,Almond Flour,0.21,1.14,3.62,0.47,0.14,0,0,52.1,44,2,0,0,25.63,0,Almond Flour,269,1.03,3.71,270,2.18,481,733,4.1,1,3.12
Coconut Flour,100,gram,7,19.3,64.8,38.5,26.3,413,Coconut Flour.,0.06,0.1,0.61,0.81,0.3,0,0,22.4,9,0,0,0,0.07,0,Coconut Flour.,21,0.81,7.1,91,2.78,209,2207,18.8,71,2.04
Baking Powder,100,gram,0,5.2,37.8,0,37.8,172,Baking Powder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baking Powder,11300,0,0,9,0,8430,49,0,11800,0
Cheeni (Sugar),100,gram,0,0,99.5,0,99.5,398,Cheeni (Sugar),0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,Cheeni (Sugar),1,0.01,0.05,0,0.01,0,2,0.6,1,0.01
"Akher Gur (Sugarcane, Jaggery) ",100,gram,0.1,0.5,95.4,0,95.4,385,Akher Gur (Sugar Jaggery) ,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,Akher Gur (Sugar Jaggery) ,92,0.75,1.6,120,0,72,290,0,79,0.1
Khejur Gur (Date Palm Jaggery),100,gram,0.3,1.5,85.7,0,85.7,352,Khejur Gur (Date Palm Jaggery),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Khejur Gur (Date Palm Jaggery),363,0,0,0,0,62,0,0,0,0
Madhu (Honey),100,gram,0,0.3,81.1,0.2,80.9,326,Madhu (Honey),0,0.04,0.12,0.07,0.02,0,0,2.2,2,0,0.5,0,0,0,Madhu (Honey),6,0.04,0.42,2,0.08,4,52,0.8,4,0.22
Multi Vitamin,1,Unit,0,0,0,0,0,0,Multi Vitamin,1.5,1.7,20,10,2,6,30,0,400,5000,60,400,30,25,Multi Vitamin,162,2,18,100,2,109,80,20,0,15
